RUN	com.myGatlingTest.MyComputerJourney	mycomputerjourney	1614037657540	l	3.3.1
USER	MyComputerJourney	1	START	1614037665164	1614037665164
USER	MyComputerJourney	2	START	1614037665187	1614037665187
REQUEST	2		LoadHomePage	1614037665240	1614037666576	OK	 
REQUEST	1		LoadHomePage	1614037665237	1614037666576	OK	 
USER	MyComputerJourney	3	START	1614037667170	1614037667170
REQUEST	3		LoadHomePage	1614037667172	1614037667872	OK	 
USER	MyComputerJourney	4	START	1614037669174	1614037669174
REQUEST	4		LoadHomePage	1614037669175	1614037669885	OK	 
USER	MyComputerJourney	5	START	1614037671174	1614037671174
REQUEST	1		LoadNewComputerPage	1614037671597	1614037671769	OK	 
REQUEST	2		LoadNewComputerPage	1614037671597	1614037671771	OK	 
REQUEST	5		LoadHomePage	1614037671175	1614037671884	OK	 
REQUEST	3		LoadNewComputerPage	1614037672903	1614037673070	OK	 
USER	MyComputerJourney	6	START	1614037673181	1614037673181
REQUEST	6		LoadHomePage	1614037673182	1614037673865	OK	 
REQUEST	4		LoadNewComputerPage	1614037674907	1614037675071	OK	 
USER	MyComputerJourney	7	START	1614037675154	1614037675154
USER	MyComputerJourney	8	START	1614037675224	1614037675224
USER	MyComputerJourney	9	START	1614037675274	1614037675274
USER	MyComputerJourney	10	START	1614037675324	1614037675324
USER	MyComputerJourney	11	START	1614037675374	1614037675374
USER	MyComputerJourney	12	START	1614037675426	1614037675426
USER	MyComputerJourney	13	START	1614037675475	1614037675475
USER	MyComputerJourney	14	START	1614037675524	1614037675524
USER	MyComputerJourney	15	START	1614037675574	1614037675574
USER	MyComputerJourney	16	START	1614037675634	1614037675634
USER	MyComputerJourney	17	START	1614037675680	1614037675680
USER	MyComputerJourney	18	START	1614037675724	1614037675724
USER	MyComputerJourney	19	START	1614037675774	1614037675774
USER	MyComputerJourney	20	START	1614037675837	1614037675837
REQUEST	7		LoadHomePage	1614037675155	1614037675852	OK	 
USER	MyComputerJourney	21	START	1614037675875	1614037675875
REQUEST	8		LoadHomePage	1614037675225	1614037675916	OK	 
USER	MyComputerJourney	22	START	1614037675929	1614037675929
USER	MyComputerJourney	23	START	1614037676169	1614037676169
USER	MyComputerJourney	24	START	1614037676169	1614037676169
USER	MyComputerJourney	26	START	1614037676170	1614037676170
USER	MyComputerJourney	25	START	1614037676170	1614037676170
REQUEST	9		LoadHomePage	1614037675275	1614037676171	OK	 
REQUEST	12		LoadHomePage	1614037675428	1614037676173	OK	 
USER	MyComputerJourney	27	START	1614037676175	1614037676175
REQUEST	10		LoadHomePage	1614037675325	1614037676177	OK	 
REQUEST	11		LoadHomePage	1614037675375	1614037676180	OK	 
USER	MyComputerJourney	28	START	1614037676209	1614037676209
USER	MyComputerJourney	29	START	1614037676271	1614037676271
USER	MyComputerJourney	30	START	1614037676324	1614037676324
REQUEST	13		LoadHomePage	1614037675476	1614037676355	OK	 
USER	MyComputerJourney	31	START	1614037676397	1614037676397
REQUEST	15		LoadHomePage	1614037675575	1614037676399	OK	 
REQUEST	14		LoadHomePage	1614037675525	1614037676401	OK	 
USER	MyComputerJourney	32	START	1614037676416	1614037676416
USER	MyComputerJourney	33	START	1614037676464	1614037676464
USER	MyComputerJourney	34	START	1614037676524	1614037676524
REQUEST	18		LoadHomePage	1614037675725	1614037676526	OK	 
REQUEST	19		LoadHomePage	1614037675775	1614037676529	OK	 
REQUEST	16		LoadHomePage	1614037675635	1614037676531	OK	 
USER	MyComputerJourney	35	START	1614037676567	1614037676567
REQUEST	17		LoadHomePage	1614037675682	1614037676570	OK	 
USER	MyComputerJourney	36	START	1614037676617	1614037676617
USER	MyComputerJourney	37	START	1614037676669	1614037676669
USER	MyComputerJourney	38	START	1614037676714	1614037676714
REQUEST	20		LoadHomePage	1614037675838	1614037676734	OK	 
REQUEST	21		LoadHomePage	1614037675876	1614037676735	OK	 
REQUEST	22		LoadHomePage	1614037675930	1614037676736	OK	 
USER	MyComputerJourney	39	START	1614037676772	1614037676772
USER	MyComputerJourney	40	START	1614037676814	1614037676814
REQUEST	27		LoadHomePage	1614037676184	1614037676864	OK	 
USER	MyComputerJourney	41	START	1614037676873	1614037676873
REQUEST	24		LoadHomePage	1614037676182	1614037676886	OK	 
REQUEST	23		LoadHomePage	1614037676181	1614037676889	OK	 
REQUEST	28		LoadHomePage	1614037676211	1614037676922	OK	 
USER	MyComputerJourney	42	START	1614037676923	1614037676923
REQUEST	25		LoadHomePage	1614037676183	1614037676924	OK	 
REQUEST	26		LoadHomePage	1614037676183	1614037676931	OK	 
REQUEST	29		LoadHomePage	1614037676272	1614037676943	OK	 
USER	MyComputerJourney	43	START	1614037676967	1614037676967
REQUEST	1		CreateNewComputer	1614037676798	1614037676970	OK	 
REQUEST	2		CreateNewComputer	1614037676798	1614037676970	OK	 
